Id,Weekly_Sales
1_1_2012-11-02,41873.79258333076
1_1_2012-11-09,21668.276615448263
1_1_2012-11-16,19591.236425545216
1_1_2012-11-23,20077.32290651363
1_1_2012-11-30,22321.99560700438
1_1_2012-12-07,28289.67692565145
1_1_2012-12-14,35107.31616417806
1_1_2012-12-21,35695.50821994257
1_1_2012-12-28,23575.566707292357
1_1_2013-01-04,18802.233036334157
1_1_2013-01-11,16972.61446827966
1_1_2013-01-18,17056.387701922857
1_1_2013-01-25,17724.27817773706
1_1_2013-02-01,23973.71194530893
1_1_2013-02-08,32867.35938396032
1_1_2013-02-15,35525.48078022074
1_1_2013-02-22,24649.565757085806
1_1_2013-03-01,22088.65222136424
1_1_2013-03-08,20495.187654394722
1_1_2013-03-15,21002.826643543925
1_1_2013-03-22,24601.55755560665
1_1_2013-03-29,37677.401885425345
1_1_2013-04-05,34830.431373233834
1_1_2013-04-12,31423.61475411995
1_1_2013-04-19,29455.56612113598
1_1_2013-04-26,21425.64729785975
1_1_2013-05-03,19128.59015022705
1_1_2013-05-10,18616.5019818358
1_1_2013-05-17,17260.707671549542
1_1_2013-05-24,16406.91458011386
1_1_2013-05-31,16729.95105021222
1_1_2013-06-07,17105.64787109968
1_1_2013-06-14,16952.54102683708
1_1_2013-06-21,16552.074602376808
1_1_2013-06-28,16067.305496620202
1_1_2013-07-05,17381.814951066666
1_1_2013-07-12,16690.990166247924
1_1_2013-07-19,16848.568981138684
1_1_2013-07-26,15959.088534742363
1_2_2012-11-02,46879.64260132506
1_2_2012-11-09,45491.61684833026
1_2_2012-11-16,43945.77378084551
1_2_2012-11-23,45013.13767674795
1_2_2012-11-30,44604.28367456704
1_2_2012-12-07,48622.602407687875
1_2_2012-12-14,49755.03927818143
1_2_2012-12-21,56147.49469923216
1_2_2012-12-28,41903.916462580746
1_2_2013-01-04,44612.7298437293
1_2_2013-01-11,43193.068542631074
1_2_2013-01-18,42952.253676778586
1_2_2013-01-25,43417.260278100606
1_2_2013-02-01,50746.80621016531
1_2_2013-02-08,49262.810181656176
1_2_2013-02-15,48339.288873587546
1_2_2013-02-22,47069.13088417542
1_2_2013-03-01,50015.99650359154
1_2_2013-03-08,48212.1808237295
1_2_2013-03-15,45863.09872512772
1_2_2013-03-22,45026.60843226301
1_2_2013-03-29,46501.79669303052
1_2_2013-04-05,49382.91228665676
1_2_2013-04-12,45170.976959741776
1_2_2013-04-19,45857.968535964006
1_2_2013-04-26,45278.04940073983
1_2_2013-05-03,49046.032312633186
1_2_2013-05-10,46536.32218474808
1_2_2013-05-17,45624.325501881525
1_2_2013-05-24,45914.08951754665
1_2_2013-05-31,47327.03730157531
1_2_2013-06-07,48470.40335426107
1_2_2013-06-14,45918.17093606128
1_2_2013-06-21,45914.043208960655
1_2_2013-06-28,46466.27885765487
1_2_2013-07-05,47940.10869339492
1_2_2013-07-12,45080.320066585
1_2_2013-07-19,45324.01149211706
1_2_2013-07-26,45286.826788669016
1_3_2012-11-02,9887.594977914647
1_3_2012-11-09,10593.434247591926
1_3_2012-11-16,10464.712212935743
1_3_2012-11-23,10420.99029892892
1_3_2012-11-30,10588.120061016025
1_3_2012-12-07,12331.149862306263
1_3_2012-12-14,12918.117015598431
1_3_2012-12-21,13461.102749490987
1_3_2012-12-28,9893.34473924993
1_3_2013-01-04,13455.6374121913
1_3_2013-01-11,13110.960683901701
1_3_2013-01-18,12476.536573112635
1_3_2013-01-25,12047.603810948778
1_3_2013-02-01,12206.910334355953
1_3_2013-02-08,12315.644415207114
1_3_2013-02-15,11890.657025680408
1_3_2013-02-22,11839.934565356134
1_3_2013-03-01,11772.108740365555
1_3_2013-03-08,11188.857577667492
1_3_2013-03-15,9453.03177240146
1_3_2013-03-22,10012.195779411255
1_3_2013-03-29,10399.286906110841
1_3_2013-04-05,10529.22959029626
1_3_2013-04-12,9265.382797575816
1_3_2013-04-19,8945.656548885883
1_3_2013-04-26,9604.330176901653
1_3_2013-05-03,10505.94392526096
1_3_2013-05-10,9959.298925024465
1_3_2013-05-17,9133.862141797576
1_3_2013-05-24,8772.72805226808
1_3_2013-05-31,8935.517929850654
1_3_2013-06-07,9203.202420328955
1_3_2013-06-14,9190.477349513374
1_3_2013-06-21,8357.905813817588
1_3_2013-06-28,8599.156384339647
1_3_2013-07-05,9651.218526757064
1_3_2013-07-12,13247.778965445146
1_3_2013-07-19,16830.34404200849
1_3_2013-07-26,21298.624425933285
1_4_2012-11-02,38840.80571061145
1_4_2012-11-09,37971.53459680087
1_4_2012-11-16,38229.90273414114
1_4_2012-11-23,46320.5956623318
1_4_2012-11-30,38469.75732577263
1_4_2012-12-07,39451.44869368994
1_4_2012-12-14,38956.43893914556
1_4_2012-12-21,44087.063242317156
1_4_2012-12-28,38175.21162201341
1_4_2013-01-04,40507.55413159279
1_4_2013-01-11,36955.45351141555
1_4_2013-01-18,35132.175508964516
1_4_2013-01-25,34810.523126296604
1_4_2013-02-01,39270.76877170487
1_4_2013-02-08,39547.903474765415
1_4_2013-02-15,37827.1260125553
1_4_2013-02-22,36089.27699758027
1_4_2013-03-01,38178.28691591886
1_4_2013-03-08,38254.33548316353
1_4_2013-03-15,37389.790661566905
1_4_2013-03-22,37050.08581431102
1_4_2013-03-29,37827.35968582102
1_4_2013-04-05,39836.87119935172
1_4_2013-04-12,37277.72138510703
1_4_2013-04-19,37128.741995539815
1_4_2013-04-26,36922.3416094228
1_4_2013-05-03,39627.37617065925
1_4_2013-05-10,36398.61056164358
1_4_2013-05-17,36283.63251773048
1_4_2013-05-24,38333.78101289961
1_4_2013-05-31,40736.14657269462
1_4_2013-06-07,39947.89274251079
1_4_2013-06-14,38496.834885541575
1_4_2013-06-21,37577.37803484636
1_4_2013-06-28,38862.87027213321
1_4_2013-07-05,41307.34870751159
1_4_2013-07-12,38422.32133468348
1_4_2013-07-19,38104.19608390144
1_4_2013-07-26,36831.85996466812
1_5_2012-11-02,28684.063604784013
1_5_2012-11-09,29037.742896633063
1_5_2012-11-16,28605.015804489467
1_5_2012-11-23,65744.466845478
1_5_2012-11-30,34642.15019143915
1_5_2012-12-07,44221.811432526345
1_5_2012-12-14,47654.268933428626
1_5_2012-12-21,55857.19010008155
1_5_2012-12-28,35289.87514451271
1_5_2013-01-04,25981.655679251733
1_5_2013-01-11,19799.70902229415
1_5_2013-01-18,18779.363872459817
1_5_2013-01-25,22562.567522509682
1_5_2013-02-01,30475.67978118668
1_5_2013-02-08,33430.479917477816
1_5_2013-02-15,32949.082531735046
1_5_2013-02-22,28438.69892973297
1_5_2013-03-01,26231.78558678199
1_5_2013-03-08,24966.436393881162
1_5_2013-03-15,26035.78167012706
1_5_2013-03-22,26961.179142319397
1_5_2013-03-29,24506.469472523848
1_5_2013-04-05,24849.348340176603
1_5_2013-04-12,21216.65319166457
1_5_2013-04-19,21373.811892100533
1_5_2013-04-26,21666.769796179975
1_5_2013-05-03,18405.149887778087
1_5_2013-05-10,18530.283361932732
1_5_2013-05-17,17313.51472017352
1_5_2013-05-24,18768.894663211577
1_5_2013-05-31,18598.035407671516
1_5_2013-06-07,22258.521817216708
1_5_2013-06-14,20463.570916688346
1_5_2013-06-21,22104.047346451945
1_5_2013-06-28,20131.982853860503
1_5_2013-07-05,19818.80281671526
1_5_2013-07-12,19015.20746127068
1_5_2013-07-19,19002.924322849867
1_5_2013-07-26,18332.432023635876
1_6_2012-11-02,4889.7960779717205
1_6_2012-11-09,3942.9830649093146
1_6_2012-11-16,3679.5638622412616
1_6_2012-11-23,17429.88591392375
1_6_2012-11-30,5305.860806478711
1_6_2012-12-07,7021.180349620624
1_6_2012-12-14,10587.087641512408
1_6_2012-12-21,16193.563112210315
1_6_2012-12-28,6521.362021074525
1_6_2013-01-04,3379.7847013926907
1_6_2013-01-11,2466.025214841403
1_6_2013-01-18,2140.3539485228057
1_6_2013-01-25,2607.690222361338
1_6_2013-02-01,3738.880156732194
1_6_2013-02-08,5817.545719952243
1_6_2013-02-15,4328.100686452573
1_6_2013-02-22,3892.023555300673
1_6_2013-03-01,3633.4160698661876
1_6_2013-03-08,3914.827590743261
1_6_2013-03-15,3712.0442436353082
1_6_2013-03-22,3984.494565152841
1_6_2013-03-29,3610.050963210348
1_6_2013-04-05,3503.4957210989287
1_6_2013-04-12,3726.3162383391423
1_6_2013-04-19,3244.1000612750327
1_6_2013-04-26,3559.849084636567
1_6_2013-05-03,4759.722083708217
1_6_2013-05-10,4690.979910786877
1_6_2013-05-17,4677.461572454271
1_6_2013-05-24,5006.048913442169
1_6_2013-05-31,3889.7179813945027
1_6_2013-06-07,3506.4700244619276
1_6_2013-06-14,3257.2755484721547
1_6_2013-06-21,3596.157081849115
1_6_2013-06-28,3988.3604667837776
1_6_2013-07-05,3337.2125387802957
1_6_2013-07-12,3403.9078936377414
1_6_2013-07-19,3669.1995181632806
1_6_2013-07-26,3199.6273275316557
1_7_2012-11-02,23077.244906005475
1_7_2012-11-09,23938.838726156348
1_7_2012-11-16,23301.284457840917
1_7_2012-11-23,68117.80807999977
1_7_2012-11-30,38558.985509437574
1_7_2012-12-07,53404.37901483002
1_7_2012-12-14,75557.79563812225
