Id,Weekly_Sales
1_1_2012-11-02,44200.16276576923
1_1_2012-11-09,19939.772719895835
1_1_2012-11-16,20037.860097569446
1_1_2012-11-23,20631.061109201397
1_1_2012-11-30,23192.003531423605
1_1_2012-12-07,25777.05405357639
1_1_2012-12-14,32382.220537638892
1_1_2012-12-21,32989.824477500006
1_1_2012-12-28,22359.40335798611
1_1_2013-01-04,16793.36810338542
1_1_2013-01-11,17847.81194947917
1_1_2013-01-18,18700.785589062507
1_1_2013-01-25,18472.232449305568
1_1_2013-02-01,23634.648102777774
1_1_2013-02-08,30753.040133333332
1_1_2013-02-15,34455.20674861111
1_1_2013-02-22,21550.280870833336
1_1_2013-03-01,21171.799343923612
1_1_2013-03-08,21592.585935763887
1_1_2013-03-15,22281.558834201383
1_1_2013-03-22,24426.79331909722
1_1_2013-03-29,40153.54944444444
1_1_2013-04-05,33422.54663072917
1_1_2013-04-12,30205.33526701389
1_1_2013-04-19,29700.62418854167
1_1_2013-04-26,21217.065355902774
1_1_2013-05-03,18913.729545138893
1_1_2013-05-10,18722.177423958343
1_1_2013-05-17,17236.514087152784
1_1_2013-05-24,16438.74748715278
1_1_2013-05-31,17139.763855034722
1_1_2013-06-07,17155.606453993056
1_1_2013-06-14,16959.68017199653
1_1_2013-06-21,16424.7492686632
1_1_2013-06-28,16353.795079600697
1_1_2013-07-05,17658.300377777778
1_1_2013-07-12,16558.560302777783
1_1_2013-07-19,16726.711775555556
1_1_2013-07-26,16363.735714670145
1_2_2012-11-02,47230.33593484104
1_2_2012-11-09,45325.8145318697
1_2_2012-11-16,43787.68711931677
1_2_2012-11-23,44921.27608130886
1_2_2012-11-30,44758.59083717527
1_2_2012-12-07,48533.63447999833
1_2_2012-12-14,48611.2473530487
1_2_2012-12-21,57659.86683155182
1_2_2012-12-28,40982.02221300534
1_2_2013-01-04,44145.31458300681
1_2_2013-01-11,43997.39793157892
1_2_2013-01-18,43368.94341260751
1_2_2013-01-25,42902.0042413309
1_2_2013-02-01,51733.288318447674
1_2_2013-02-08,49371.89473432399
1_2_2013-02-15,48242.35770993641
1_2_2013-02-22,46391.828728110464
1_2_2013-03-01,50380.61792042918
1_2_2013-03-08,47746.852793277234
1_2_2013-03-15,45360.46180540233
1_2_2013-03-22,44735.447767960424
1_2_2013-03-29,46459.148731641704
1_2_2013-04-05,49812.11261265849
1_2_2013-04-12,44195.661489843646
1_2_2013-04-19,45481.57533956851
1_2_2013-04-26,44885.24030887885
1_2_2013-05-03,49560.00309129711
1_2_2013-05-10,46317.66256352513
1_2_2013-05-17,45471.9225565006
1_2_2013-05-24,45776.071928745805
1_2_2013-05-31,47289.301778895584
1_2_2013-06-07,48703.27799590692
1_2_2013-06-14,45583.328175503644
1_2_2013-06-21,45655.083748431316
1_2_2013-06-28,46697.90485745095
1_2_2013-07-05,48493.214431196975
1_2_2013-07-12,44859.24197764596
1_2_2013-07-19,45099.61164764074
1_2_2013-07-26,45072.57570398296
1_3_2012-11-02,9967.347308978935
1_3_2012-11-09,10471.454353564406
1_3_2012-11-16,10508.839533209799
1_3_2012-11-23,10599.850038142404
1_3_2012-11-30,10592.72770545766
1_3_2012-12-07,12486.26860165717
1_3_2012-12-14,12671.739537535837
1_3_2012-12-21,13043.307781449701
1_3_2012-12-28,9387.87846346902
1_3_2013-01-04,13646.739630045437
1_3_2013-01-11,13090.572932110736
1_3_2013-01-18,11870.067025404584
1_3_2013-01-25,11334.700319668822
1_3_2013-02-01,12302.033467485659
1_3_2013-02-08,12518.579071019747
1_3_2013-02-15,12299.985278562608
1_3_2013-02-22,11651.794943531699
1_3_2013-03-01,11411.427998597013
1_3_2013-03-08,11192.417314932754
1_3_2013-03-15,9122.330372260963
1_3_2013-03-22,9909.032682601031
1_3_2013-03-29,10126.047948292407
1_3_2013-04-05,10568.447610967682
1_3_2013-04-12,9017.87732131083
1_3_2013-04-19,8732.24687556162
1_3_2013-04-26,9348.103111793534
1_3_2013-05-03,10327.912766555704
1_3_2013-05-10,9635.325868326143
1_3_2013-05-17,9134.6340558699
1_3_2013-05-24,8776.187260860786
1_3_2013-05-31,8628.277291296874
1_3_2013-06-07,8954.176799614823
1_3_2013-06-14,9213.5410481194
1_3_2013-06-21,8439.512114187573
1_3_2013-06-28,8879.088746699172
1_3_2013-07-05,9560.867647560002
1_3_2013-07-12,13669.82928889682
1_3_2013-07-19,17203.341853855254
1_3_2013-07-26,22222.375540583307
1_4_2012-11-02,38998.930854727565
1_4_2012-11-09,37537.19084423612
1_4_2012-11-16,37440.71008034723
1_4_2012-11-23,46252.366744791674
1_4_2012-11-30,37905.45062076389
1_4_2012-12-07,39071.26183645833
1_4_2012-12-14,38122.32362361112
1_4_2012-12-21,44419.233475625
1_4_2012-12-28,37187.24035590278
1_4_2013-01-04,39600.87561597222
1_4_2013-01-11,36500.00636118056
1_4_2013-01-18,34873.59705069446
1_4_2013-01-25,34269.21029270834
1_4_2013-02-01,39283.45629340278
1_4_2013-02-08,39179.35756388889
1_4_2013-02-15,37095.70237881944
1_4_2013-02-22,35208.78489791668
1_4_2013-03-01,38168.45350763889
1_4_2013-03-08,37981.141912847226
1_4_2013-03-15,36871.859730208336
1_4_2013-03-22,36504.981315277786
1_4_2013-03-29,37750.521230555554
1_4_2013-04-05,39971.53636458333
1_4_2013-04-12,36643.528525
1_4_2013-04-19,36564.079679166665
1_4_2013-04-26,36483.608573958336
1_4_2013-05-03,40196.70817916666
1_4_2013-05-10,35835.01484027778
1_4_2013-05-17,35527.596645833335
1_4_2013-05-24,37514.105084027775
1_4_2013-05-31,40421.800702430555
1_4_2013-06-07,39137.08766493055
1_4_2013-06-14,37978.64282743056
1_4_2013-06-21,36699.70406423612
1_4_2013-06-28,38138.20724722223
1_4_2013-07-05,40937.27428715278
1_4_2013-07-12,37486.441206944444
1_4_2013-07-19,37522.12687534722
1_4_2013-07-26,36009.11572534722
1_5_2012-11-02,29222.910837929336
1_5_2012-11-09,29182.665479216404
1_5_2012-11-16,27824.379100739552
1_5_2012-11-23,67296.83745433333
1_5_2012-11-30,33681.8105070974
1_5_2012-12-07,42080.66253575534
1_5_2012-12-14,44518.91750130232
1_5_2012-12-21,54286.247833452384
1_5_2012-12-28,32704.04644238857
1_5_2013-01-04,23740.510543971886
1_5_2013-01-11,19772.035560157095
1_5_2013-01-18,19632.467096470496
1_5_2013-01-25,23071.587720727533
1_5_2013-02-01,30098.021834028685
1_5_2013-02-08,31731.166363589757
1_5_2013-02-15,31198.98257777741
1_5_2013-02-22,26823.49579138888
1_5_2013-03-01,26004.529489586927
1_5_2013-03-08,24624.321269468273
1_5_2013-03-15,26045.20585596925
1_5_2013-03-22,26204.197419291293
1_5_2013-03-29,23367.74351917853
1_5_2013-04-05,24503.557525850032
1_5_2013-04-12,20711.196126010807
1_5_2013-04-19,21348.537676625085
1_5_2013-04-26,22046.824585054317
1_5_2013-05-03,17665.72033947588
1_5_2013-05-10,18403.487139776826
1_5_2013-05-17,17061.011514956805
1_5_2013-05-24,19176.002294558388
1_5_2013-05-31,18423.327280038036
1_5_2013-06-07,22309.35085723914
1_5_2013-06-14,19505.30772229582
1_5_2013-06-21,21340.3340901479
1_5_2013-06-28,19547.473116787598
1_5_2013-07-05,19275.864596748226
1_5_2013-07-12,18612.954742832062
1_5_2013-07-19,18852.068197611843
1_5_2013-07-26,17738.817394006906
1_6_2012-11-02,4994.527266431424
1_6_2012-11-09,3788.777047373576
1_6_2012-11-16,3510.096121332415
1_6_2012-11-23,19471.389645765095
1_6_2012-11-30,5304.58577814324
1_6_2012-12-07,6440.567249384447
1_6_2012-12-14,10341.988215840143
