Id,Weekly_Sales
1_1_2012-11-02,41424.34849915865
1_1_2012-11-09,21620.72941732205
1_1_2012-11-16,19740.14642604207
1_1_2012-11-23,20570.147589202184
1_1_2012-11-30,22312.566826259357
1_1_2012-12-07,27204.3414564286
1_1_2012-12-14,34467.33209789877
1_1_2012-12-21,35311.667344304566
1_1_2012-12-28,22763.850418098325
1_1_2013-01-04,18882.699169197393
1_1_2013-01-11,17307.579724371306
1_1_2013-01-18,17371.949945820234
1_1_2013-01-25,17532.374430590826
1_1_2013-02-01,23858.642139172953
1_1_2013-02-08,32534.917864302446
1_1_2013-02-15,35304.871946533865
1_1_2013-02-22,24470.698266635492
1_1_2013-03-01,21872.156423446704
1_1_2013-03-08,20527.829957434828
1_1_2013-03-15,21064.678416645842
1_1_2013-03-22,24761.168951886317
1_1_2013-03-29,38399.4861163866
1_1_2013-04-05,34721.227100999866
1_1_2013-04-12,31264.817132278433
1_1_2013-04-19,29462.625677918826
1_1_2013-04-26,21276.496946194144
1_1_2013-05-03,19181.192869267492
1_1_2013-05-10,18633.786962279708
1_1_2013-05-17,17349.137786541447
1_1_2013-05-24,16401.14234172665
1_1_2013-05-31,16809.280740516027
1_1_2013-06-07,17202.94360001708
1_1_2013-06-14,16933.935540462764
1_1_2013-06-21,16547.84515969571
1_1_2013-06-28,15966.047860115017
1_1_2013-07-05,17562.970990429814
1_1_2013-07-12,16673.560310083903
1_1_2013-07-19,16872.0857394376
1_1_2013-07-26,15793.267560482522
1_2_2012-11-02,46961.85730126884
1_2_2012-11-09,45525.29219074786
1_2_2012-11-16,43813.22784692036
1_2_2012-11-23,45174.94040825454
1_2_2012-11-30,44517.388576686564
1_2_2012-12-07,48468.813386156755
1_2_2012-12-14,49081.860606031165
1_2_2012-12-21,56284.29192467813
1_2_2012-12-28,40893.01178998012
1_2_2013-01-04,44691.91573178318
1_2_2013-01-11,43384.24625356056
1_2_2013-01-18,42929.0557282764
1_2_2013-01-25,43161.39488914538
1_2_2013-02-01,50941.65435222197
1_2_2013-02-08,49381.14437881692
1_2_2013-02-15,48306.42338835182
1_2_2013-02-22,46966.02707868047
1_2_2013-03-01,50016.152378750885
1_2_2013-03-08,48198.49780086753
1_2_2013-03-15,45667.35093985253
1_2_2013-03-22,45105.099049447876
1_2_2013-03-29,46286.84710654298
1_2_2013-04-05,49483.657672685564
1_2_2013-04-12,44939.68351296387
1_2_2013-04-19,45700.364771118
1_2_2013-04-26,45097.88641878225
1_2_2013-05-03,49022.47428763934
1_2_2013-05-10,46631.70735206939
1_2_2013-05-17,45613.58918712724
1_2_2013-05-24,45880.42169034315
1_2_2013-05-31,47073.70487533364
1_2_2013-06-07,48632.567288336184
1_2_2013-06-14,45874.63894039053
1_2_2013-06-21,45906.83545606129
1_2_2013-06-28,46373.16951538033
1_2_2013-07-05,48166.45277317823
1_2_2013-07-12,45141.701691732
1_2_2013-07-19,45213.27904761524
1_2_2013-07-26,45178.96243643048
1_3_2012-11-02,9912.396983164803
1_3_2012-11-09,10653.695009266237
1_3_2012-11-16,10553.826619336382
1_3_2012-11-23,10611.968360750863
1_3_2012-11-30,10687.599028573175
1_3_2012-12-07,12493.813836048339
1_3_2012-12-14,13116.870631439633
1_3_2012-12-21,13851.747051554845
1_3_2012-12-28,9630.085928612849
1_3_2013-01-04,13828.640014596054
1_3_2013-01-11,13326.930376240407
1_3_2013-01-18,12449.487640465482
1_3_2013-01-25,12026.242225138954
1_3_2013-02-01,12327.649847250617
1_3_2013-02-08,12648.168201353317
1_3_2013-02-15,12059.04875307708
1_3_2013-02-22,11949.730587951313
1_3_2013-03-01,11907.05630664702
1_3_2013-03-08,11337.300410421425
1_3_2013-03-15,9409.728597534788
1_3_2013-03-22,10123.195516616839
1_3_2013-03-29,10522.67145296171
1_3_2013-04-05,10556.47502563239
1_3_2013-04-12,9202.401281579001
1_3_2013-04-19,8880.954678758739
1_3_2013-04-26,9645.401307970777
1_3_2013-05-03,10556.58959181052
1_3_2013-05-10,9986.734253442588
1_3_2013-05-17,9140.867200143519
1_3_2013-05-24,8820.644324403616
1_3_2013-05-31,8956.033599390752
1_3_2013-06-07,9230.639508348731
1_3_2013-06-14,9275.948516766819
1_3_2013-06-21,8460.060631676532
1_3_2013-06-28,8717.052819706167
1_3_2013-07-05,9409.035214751144
1_3_2013-07-12,13492.818763471048
1_3_2013-07-19,17166.135339267785
1_3_2013-07-26,22015.108910603692
1_4_2012-11-02,38960.427030075734
1_4_2012-11-09,37965.39213619137
1_4_2012-11-16,37848.10169941675
1_4_2012-11-23,46834.357008949315
1_4_2012-11-30,38095.27120185907
1_4_2012-12-07,39365.4793127699
1_4_2012-12-14,38617.646852718244
1_4_2012-12-21,43919.65863478857
1_4_2012-12-28,37606.29638095698
1_4_2013-01-04,40518.64902639757
1_4_2013-01-11,36926.54696005226
